instance,YN,solved,cpu,nbit,nbinfeas,nbduplicates,totalLP
Forget20-KP_30_3_1-1000_spheredown_2_5,1326,1,134.2866291999817,2628,0,1298,0
Forget20-KP_30_3_1-1000_spheredown_2_6,761,1,36.10165596008301,1495,0,729,0
Forget20-KP_30_3_1-1000_spheredown_2_7,1334,1,90.4541540145874,2655,0,1319,0
Forget20-KP_30_3_1-1000_spheredown_2_8,1029,1,81.71402502059937,2044,0,1015,0
Forget20-KP_30_3_1-1000_spheredown_2_9,1227,1,54.34335708618164,2426,0,1192,0
Forget20-KP_30_3_1-1000_spheredown_3_1,530,1,13.378920078277588,1046,0,511,0
Forget20-KP_30_3_1-1000_spheredown_3_10,859,1,43.28568911552429,1711,0,852,0
Forget20-KP_30_3_1-1000_spheredown_3_2,862,1,52.6638548374176,1696,0,833,0
Forget20-KP_30_3_1-1000_spheredown_3_3,621,1,25.630923986434937,1234,0,612,0
Forget20-KP_30_3_1-1000_spheredown_3_4,734,1,36.90539908409119,1458,0,723,0
Forget20-KP_30_3_1-1000_spheredown_3_5,885,1,41.51984095573425,1762,0,875,0
Forget20-KP_30_3_1-1000_spheredown_3_6,821,1,40.049505949020386,1631,0,804,0
Forget20-KP_30_3_1-1000_spheredown_3_7,960,1,51.501389026641846,1902,0,936,0
Forget20-KP_30_3_1-1000_spheredown_3_8,714,1,34.01431918144226,1421,0,706,0
Forget20-KP_30_3_1-1000_spheredown_3_9,599,1,23.91426706314087,1194,0,594,0
Forget20-KP_35_3_1-1000_spheredown_1_1,2625,1,641.4623510837555,5196,0,2568,0
Forget20-KP_35_3_1-1000_spheredown_1_10,2060,1,254.45317006111145,4066,0,1999,0
Forget20-KP_35_3_1-1000_spheredown_1_2,1554,1,160.6945948600769,3071,0,1512,0
Forget20-KP_35_3_1-1000_spheredown_1_3,2508,1,478.00829815864563,5045,0,2426,0
Forget20-KP_35_3_1-1000_spheredown_1_4,2055,1,541.4455239772797,4090,0,2033,0
Forget20-KP_35_3_1-1000_spheredown_1_5,2526,1,425.7804870605469,4991,0,2443,0
Forget20-KP_35_3_1-1000_spheredown_1_6,2984,1,501.1407868862152,5875,0,2884,0
Forget20-KP_35_3_1-1000_spheredown_1_7,2592,1,372.3261339664459,5104,0,2501,0
Forget20-KP_35_3_1-1000_spheredown_1_8,2394,1,368.7536609172821,4741,0,2342,0
Forget20-KP_35_3_1-1000_spheredown_1_9,2679,1,506.62655305862427,5310,0,2620,0
Forget20-KP_35_3_1-1000_spheredown_2_1,1400,1,113.30767893791199,2766,0,1362,0
Forget20-KP_35_3_1-1000_spheredown_2_10,1934,1,215.4846968650818,3840,0,1906,0
Forget20-KP_35_3_1-1000_spheredown_2_2,1586,1,137.53273105621338,3140,0,1539,0
Forget20-KP_35_3_1-1000_spheredown_2_3,2022,1,253.17161417007446,3992,0,1942,0
Forget20-KP_35_3_1-1000_spheredown_2_4,1492,1,115.54733896255493,2959,0,1461,0
Forget20-KP_35_3_1-1000_spheredown_2_5,2113,1,246.51911997795105,4161,0,2033,0
Forget20-KP_35_3_1-1000_spheredown_2_6,1970,1,197.81488299369812,3907,0,1924,0
Forget20-KP_35_3_1-1000_spheredown_2_7,1680,1,150.91622495651245,3284,0,1601,0
Forget20-KP_35_3_1-1000_spheredown_2_8,1629,1,185.17775511741638,3234,0,1602,0
Forget20-KP_35_3_1-1000_spheredown_2_9,1425,1,135.2114098072052,2841,0,1413,0
Forget20-KP_35_3_1-1000_spheredown_3_1,1295,1,89.89298105239868,2573,0,1272,0
Forget20-KP_35_3_1-1000_spheredown_3_10,1739,1,159.56485414505005,3466,0,1725,0
Forget20-KP_35_3_1-1000_spheredown_3_2,1881,1,186.50665998458862,3718,0,1830,0
Forget20-KP_35_3_1-1000_spheredown_3_3,1488,1,126.66573286056519,2957,0,1467,0
Forget20-KP_35_3_1-1000_spheredown_3_4,2337,1,305.16246604919434,4639,0,2298,0
Forget20-KP_35_3_1-1000_spheredown_3_5,2188,1,236.90107798576355,4337,0,2137,0
Forget20-KP_35_3_1-1000_spheredown_3_6,2099,1,252.5982539653778,4064,0,1953,0
Forget20-KP_35_3_1-1000_spheredown_3_7,2396,1,249.55442595481873,4523,0,2113,0
Forget20-KP_35_3_1-1000_spheredown_3_8,2123,1,238.63428711891174,4197,0,2065,0
Forget20-KP_35_3_1-1000_spheredown_3_9,1989,1,464.93431210517883,3910,0,1905,0
Forget20-KP_40_3_1-1000_spheredown_1_1,2873,1,529.191999912262,5665,0,2774,0
Forget20-KP_40_3_1-1000_spheredown_1_10,3032,1,737.1525738239288,5979,0,2935,0
Forget20-KP_40_3_1-1000_spheredown_1_2,2369,1,563.6854410171509,4696,0,2323,0
Forget20-KP_40_3_1-1000_spheredown_1_3,2555,1,495.27635312080383,5052,0,2488,0
Forget20-KP_40_3_1-1000_spheredown_1_4,3112,1,786.1830840110779,6161,0,3046,0
Forget20-KP_40_3_1-1000_spheredown_1_5,2386,1,343.7411699295044,4740,0,2351,0
Forget20-KP_40_3_1-1000_spheredown_1_6,3306,1,738.8193328380585,6548,0,3232,0
Forget20-KP_40_3_1-1000_spheredown_1_7,2307,1,547.8176951408386,4574,0,2264,0
Forget20-KP_40_3_1-1000_spheredown_1_8,3122,0,1800.2733631134033,6135,0,3010,0
Forget20-KP_40_3_1-1000_spheredown_1_9,2286,1,433.11861085891724,4516,0,2222,0
Forget20-KP_40_3_1-1000_spheredown_2_1,4234,1,1277.2663860321045,8330,0,4081,0
Forget20-KP_40_3_1-1000_spheredown_2_10,3281,1,713.9709658622742,6479,0,3186,0
Forget20-KP_40_3_1-1000_spheredown_2_2,3353,1,689.5089290142059,6639,0,3271,0
Forget20-KP_40_3_1-1000_spheredown_2_3,4005,1,1101.5317499637604,7867,0,3841,0
Forget20-KP_40_3_1-1000_spheredown_2_4,2957,1,518.3691709041595,5822,0,2856,0
Forget20-KP_40_3_1-1000_spheredown_2_5,4983,1,1596.2649948596954,9845,0,4837,0
Forget20-KP_40_3_1-1000_spheredown_2_6,2710,1,492.6944029331207,5342,0,2621,0
Forget20-KP_40_3_1-1000_spheredown_2_7,2811,1,867.7750778198242,5590,0,2774,0
Forget20-KP_40_3_1-1000_spheredown_2_8,4583,1,1338.5937280654907,8989,0,4366,0
Forget20-KP_40_3_1-1000_spheredown_2_9,3652,1,864.5996479988098,7234,0,3571,0
Forget20-KP_40_3_1-1000_spheredown_3_1,3386,1,580.1410648822784,6595,0,3187,0
Forget20-KP_40_3_1-1000_spheredown_3_10,3715,1,759.7310101985931,7340,0,3621,0
Forget20-KP_40_3_1-1000_spheredown_3_2,3007,1,630.7787878513336,5949,0,2934,0
Forget20-KP_40_3_1-1000_spheredown_3_3,2956,1,561.0318078994751,5843,0,2872,0
Forget20-KP_40_3_1-1000_spheredown_3_4,3446,1,747.010705947876,6724,0,3251,0
Forget20-KP_40_3_1-1000_spheredown_3_5,2988,1,642.7690470218658,5920,0,2922,0
Forget20-KP_40_3_1-1000_spheredown_3_6,3500,1,868.7352938652039,6872,0,3359,0
Forget20-KP_40_3_1-1000_spheredown_3_7,3336,1,803.240247964859,6608,0,3265,0
Forget20-KP_40_3_1-1000_spheredown_3_8,2710,1,467.1190450191498,5368,0,2643,0
Forget20-KP_40_3_1-1000_spheredown_3_9,3769,1,981.270122051239,7419,0,3637,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_1,274,1,5.151626110076904,548,0,273,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_10,344,1,7.143441200256348,685,0,341,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_2,400,1,9.37269401550293,797,0,396,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_3,332,1,6.819558143615723,662,0,330,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_4,273,1,5.342288970947266,546,0,272,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_5,361,1,7.224900960922241,715,0,354,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_6,266,1,5.5129430294036865,530,0,264,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_7,317,1,6.099646091461182,628,0,311,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_8,333,1,7.019747018814087,663,0,329,0
Forget20-UFLP_5_3_1-1000_1-100_spheredown_1_9,349,1,7.418161153793335,695,0,343,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_1,777,1,35.51363706588745,1511,0,732,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_10,1042,1,67.22358202934265,2057,0,1010,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_2,1065,1,60.24621510505676,2113,0,1046,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_3,1181,1,74.03569889068604,2327,0,1136,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_4,810,1,41.764350175857544,1603,0,792,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_5,984,1,61.216805934906006,1901,0,909,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_6,950,1,73.04650688171387,1869,0,916,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_7,980,1,53.49598979949951,1944,0,961,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_8,1167,1,73.1638560295105,2312,0,1142,0
Forget20-UFLP_6_3_1-1000_1-100_spheredown_1_9,1006,1,63.60461616516113,1996,0,986,0
